cluster,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,total
MID,74,26,31,35,33,199
advice,2,1,0,0,0,3
altruistic donation,3,1,1,0,1,6
amount estimation,2,0,1,1,2,6
anticipation,28,10,11,14,10,73
aversive avoidance,1,2,0,0,1,4
blackjack,1,0,0,1,0,2
choice,18,20,10,14,17,79
classical conditioning,14,3,3,4,3,27
delay,10,22,15,8,7,62
delay discounting,10,17,15,7,8,57
face attractivness,1,1,0,0,4,6
food,10,2,9,8,6,35
gambling choice,36,37,27,19,13,132
go/no-go,4,3,4,3,3,17
moving through virtual maze,2,1,1,4,9,17
negative outcomes,13,27,19,23,9,91
negative outcomes escape,8,10,5,4,10,37
pattern recognition,0,3,3,8,0,14
performance feedback,6,5,3,7,5,26
picture of desired object,6,10,7,1,9,33
positive outcomes,63,18,20,27,35,163
predator and prey paradigm,2,1,1,4,9,17
prediction uncertainty,8,36,13,8,18,83
probabilistic conditioning,9,4,5,3,10,31
probability,12,17,12,7,5,53
purchasing,2,2,6,0,4,14
recognition,2,6,0,1,3,12
response accuracy,0,2,2,0,0,4
reversal learning task,5,23,14,5,12,59
reward delivery,1,2,0,0,0,3
reward learning,10,26,12,5,15,68
reward omission,26,11,2,9,4,52
reward price,8,12,12,5,22,59
rewarded performance,9,14,8,15,8,54
risk,10,18,3,12,8,51
risk vs. amount,1,9,5,6,2,23
slot machine,3,5,0,3,2,13
social,9,7,9,10,7,42
stock market,1,3,4,3,1,12
tower of london task,1,1,0,3,4,9
unexpected outcomes,6,2,3,4,0,15
unexpected positive outcomes,0,0,0,0,1,1
valence,3,1,2,0,1,7
value,27,20,16,15,24,102
verbal reward,1,0,0,1,0,2
wheel of fortune task,12,10,11,5,4,42
