cluster,cluster 1,cluster 2,cluster 3,cluster 4,total
MID,28,36,34,97,195
advice,0,1,0,2,3
altruistic donation,1,1,1,3,6
amount estimation,1,0,2,3,6
anticipation,11,16,7,35,69
aversive avoidance,0,2,1,1,4
blackjack,0,1,0,1,2
cards,12,19,14,25,70
choice,12,24,16,28,80
classical conditioning,4,3,3,17,27
delay,15,23,5,15,58
delay discounting,15,17,6,15,53
face attractivness,0,1,4,1,6
food,10,5,5,15,35
gambling choice,27,40,13,47,127
go/no-go,4,4,3,6,17
letters,1,0,3,0,4
moving through virtual maze,3,2,8,4,17
negative outcomes,16,31,15,31,93
negative outcomes escape,6,9,8,12,35
pattern recognition,3,9,0,2,14
performance feedback,3,7,5,11,26
picture of desired object,1,10,6,5,22
positive outcomes,19,25,36,83,163
predator and prey paradigm,3,2,8,4,17
prediction uncertainty,12,38,15,14,79
probabilistic conditioning,6,5,8,12,31
probability,11,17,6,16,50
purchasing,0,0,2,1,3
recognition,0,7,3,2,12
response accuracy,2,2,0,0,4
reversal learning task,9,24,15,8,56
reward delivery,0,2,0,1,3
reward learning,12,27,15,13,67
reward omission,2,14,3,33,52
reward price,7,13,17,11,48
rewarded performance,7,19,5,17,48
risk,4,20,8,12,44
risk vs. amount,4,9,1,6,20
slot machine,0,5,2,6,13
social,10,9,5,14,38
stock market,5,2,0,4,11
tower of london task,0,1,2,4,7
unexpected outcomes,2,1,1,10,14
unexpected positive outcomes,0,0,1,0,1
valence,2,1,1,3,7
value,18,25,21,38,102
verbal reward,0,0,0,2,2
wheel of fortune task,10,10,6,14,40
